                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0954,                0.71814,                 1.1023,                0.85281,                0.75004,                  0.815,                0.57122,                 1.0882,                0.63198,                 1.0893,             0.00013888,             0.00013888,             0.00013888
                      2,                 1.1037,                0.71923,                 1.1054,                0.83685,                0.74344,                0.80322,                0.55693,                 1.1199,                0.65139,                 1.1041,             0.00026413,             0.00026413,             0.00026413
                      3,                 1.1089,                0.73564,                 1.1135,                0.83173,                0.74423,                 0.8055,                0.55384,                 1.1127,                0.65892,                 1.1026,             0.00037561,             0.00037561,             0.00037561
                      4,                 1.1143,                0.73823,                 1.1115,                0.84075,                0.74079,                0.80164,                0.55118,                 1.1201,                 0.6591,                 1.1077,             0.00035508,             0.00035508,             0.00035508
                      5,                 1.1153,                0.73619,                 1.1126,                0.84403,                0.74285,                0.80364,                0.55437,                 1.1303,                0.65901,                 1.1081,             0.00035508,             0.00035508,             0.00035508
                      6,                 1.1101,                0.73351,                 1.1133,                0.83797,                0.74294,                0.80637,                 0.5584,                 1.1024,                0.65512,                 1.1009,             0.00033443,             0.00033443,             0.00033443
                      7,                 1.0995,                0.72831,                 1.1098,                0.84948,                0.74885,                0.80993,                0.55991,                 1.1272,                0.64957,                 1.1048,             0.00031379,             0.00031379,             0.00031379
                      8,                 1.1031,                0.72114,                 1.1068,                0.83616,                0.76548,                0.81241,                0.56297,                 1.1195,                0.64181,                  1.106,             0.00029315,             0.00029315,             0.00029315
                      9,                 1.0973,                0.71523,                 1.1051,                 0.8441,                0.74794,                0.81374,                0.56458,                 1.0962,                 0.6417,                 1.0947,             0.00027251,             0.00027251,             0.00027251
                     10,                 1.0975,                0.71607,                 1.1031,                0.84336,                0.75521,                 0.8109,                0.56514,                 1.0881,                0.63494,                 1.0904,             0.00025187,             0.00025187,             0.00025187
                     11,                 1.0541,                0.64299,                 1.0961,                0.84107,                0.75909,                0.81432,                 0.5678,                 1.0861,                  0.631,                  1.091,             0.00023123,             0.00023123,             0.00023123
                     12,                  1.051,                0.63201,                 1.0931,                0.84719,                0.76485,                  0.823,                0.57699,                 1.0883,                 0.6253,                  1.088,             0.00021059,             0.00021059,             0.00021059
                     13,                 1.0448,                0.62682,                 1.0899,                0.87307,                0.75852,                0.82402,                0.58198,                 1.0749,                0.61905,                 1.0822,             0.00018994,             0.00018994,             0.00018994
                     14,                 1.0413,                0.62141,                  1.088,                0.86301,                0.76544,                0.82664,                 0.5823,                  1.085,                0.61563,                 1.0855,              0.0001693,              0.0001693,              0.0001693
                     15,                 1.0349,                0.61727,                 1.0849,                0.85281,                0.77268,                0.82902,                0.58582,                 1.0795,                0.61163,                 1.0809,             0.00014866,             0.00014866,             0.00014866
                     16,                 1.0333,                0.61049,                 1.0833,                0.84824,                0.77291,                0.83053,                0.58831,                 1.0781,                0.61139,                 1.0803,             0.00012802,             0.00012802,             0.00012802
                     17,                  1.029,                0.60517,                 1.0764,                0.86688,                0.77479,                0.83403,                0.58808,                 1.0913,                0.61111,                 1.0844,             0.00010738,             0.00010738,             0.00010738
                     18,                 1.0247,                0.60269,                 1.0789,                0.85221,                0.77893,                0.83142,                   0.59,                  1.081,                 0.6059,                 1.0802,             8.6736e-05,             8.6736e-05,             8.6736e-05
                     19,                 1.0226,                0.60043,                 1.0749,                0.85028,                0.78498,                0.83263,                0.59347,                 1.0673,                 0.6015,                 1.0759,             6.6095e-05,             6.6095e-05,             6.6095e-05
                     20,                 1.0188,                0.59377,                 1.0734,                0.86187,                 0.7774,                0.83567,                 0.5943,                  1.072,                0.60051,                 1.0777,             4.5453e-05,             4.5453e-05,             4.5453e-05
